control_id,check_id,created_at,updated_at,is_deleted
603,cloudwatch_ac_18(3)_compliance,2025-08-12T14:18:24.951089,2025-08-12T14:18:24.951089,False
537,github_ac_18(4)_compliance,2025-08-12T14:18:24.967356,2025-08-12T14:18:24.967356,False
537,ec2_ac_18(4)_compliance,2025-08-12T14:18:24.982733,2025-08-12T14:18:24.982733,False
537,cloudtrail_ac_18(4)_compliance,2025-08-12T14:18:24.999581,2025-08-12T14:18:24.999581,False
537,iam_ac_18(4)_compliance,2025-08-12T14:18:25.013944,2025-08-12T14:18:25.013944,False
537,s3_ac_18(4)_compliance,2025-08-12T14:18:25.028319,2025-08-12T14:18:25.028319,False
537,cloudwatch_ac_18(4)_compliance,2025-08-12T14:18:25.043455,2025-08-12T14:18:25.043455,False
966,github_ac_18(5)_compliance,2025-08-12T14:18:25.058001,2025-08-12T14:18:25.058001,False
966,ec2_ac_18(5)_compliance,2025-08-12T14:18:25.074265,2025-08-12T14:18:25.074265,False
966,cloudtrail_ac_18(5)_compliance,2025-08-12T14:18:25.088514,2025-08-12T14:18:25.088514,False
966,iam_ac_18(5)_compliance,2025-08-12T14:18:25.104791,2025-08-12T14:18:25.104791,False
966,s3_ac_18(5)_compliance,2025-08-12T14:18:25.119562,2025-08-12T14:18:25.119562,False
966,cloudwatch_ac_18(5)_compliance,2025-08-12T14:18:25.134813,2025-08-12T14:18:25.134813,False
692,github_ac_19_compliance,2025-08-12T14:18:25.150525,2025-08-12T14:18:25.150525,False
692,ec2_ac_19_compliance,2025-08-12T14:18:25.165781,2025-08-12T14:18:25.165781,False
692,cloudtrail_ac_19_compliance,2025-08-12T14:18:25.180965,2025-08-12T14:18:25.180965,False
692,iam_ac_19_compliance,2025-08-12T14:18:25.196667,2025-08-12T14:18:25.196667,False
692,s3_ac_19_compliance,2025-08-12T14:18:25.211611,2025-08-12T14:18:25.211611,False
692,cloudwatch_ac_19_compliance,2025-08-12T14:18:25.226711,2025-08-12T14:18:25.226711,False
767,github_ac_19(1)_compliance,2025-08-12T14:18:25.242582,2025-08-12T14:18:25.242582,False
767,ec2_ac_19(1)_compliance,2025-08-12T14:18:25.258341,2025-08-12T14:18:25.258341,False
767,cloudtrail_ac_19(1)_compliance,2025-08-12T14:18:25.273753,2025-08-12T14:18:25.273753,False
767,iam_ac_19(1)_compliance,2025-08-12T14:18:25.289713,2025-08-12T14:18:25.289713,False
767,s3_ac_19(1)_compliance,2025-08-12T14:18:25.304900,2025-08-12T14:18:25.304900,False
767,cloudwatch_ac_19(1)_compliance,2025-08-12T14:18:25.320417,2025-08-12T14:18:25.320417,False
455,github_ac_19(2)_compliance,2025-08-12T14:18:25.336479,2025-08-12T14:18:25.336479,False
455,ec2_ac_19(2)_compliance,2025-08-12T14:18:25.352070,2025-08-12T14:18:25.352070,False
455,cloudtrail_ac_19(2)_compliance,2025-08-12T14:18:25.367879,2025-08-12T14:18:25.367879,False
455,iam_ac_19(2)_compliance,2025-08-12T14:18:25.383278,2025-08-12T14:18:25.383278,False
455,s3_ac_19(2)_compliance,2025-08-12T14:18:25.398428,2025-08-12T14:18:25.398428,False
455,cloudwatch_ac_19(2)_compliance,2025-08-12T14:18:25.413844,2025-08-12T14:18:25.413844,False
996,github_ac_19(3)_compliance,2025-08-12T14:18:25.429289,2025-08-12T14:18:25.429289,False
996,ec2_ac_19(3)_compliance,2025-08-12T14:18:25.444047,2025-08-12T14:18:25.444047,False
996,cloudtrail_ac_19(3)_compliance,2025-08-12T14:18:25.459916,2025-08-12T14:18:25.459916,False
996,iam_ac_19(3)_compliance,2025-08-12T14:18:25.475580,2025-08-12T14:18:25.475580,False
996,s3_ac_19(3)_compliance,2025-08-12T14:18:25.490684,2025-08-12T14:18:25.490684,False
996,cloudwatch_ac_19(3)_compliance,2025-08-12T14:18:25.506246,2025-08-12T14:18:25.506246,False
959,github_ac_19(4)_compliance,2025-08-12T14:18:25.523405,2025-08-12T14:18:25.523405,False
959,ec2_ac_19(4)_compliance,2025-08-12T14:18:25.539877,2025-08-12T14:18:25.539877,False
959,cloudtrail_ac_19(4)_compliance,2025-08-12T14:18:25.556441,2025-08-12T14:18:25.556441,False
959,iam_ac_19(4)_compliance,2025-08-12T14:18:25.572115,2025-08-12T14:18:25.572115,False
959,s3_ac_19(4)_compliance,2025-08-12T14:18:25.587913,2025-08-12T14:18:25.587913,False
